"","E6.5-Epi","E7.0-Epi","E6.5-PS","E7.0-PS","E7.0-aPS","E7.0-NasMes","E7.5-NeurEct"
"Sf3a2",84.1735460047609,98.2788184298118,91.4934325423841,100.086607607186,99.568197591948,106.002598328332,92.7449546890017
"Sf3a3",149.945168369412,201.569927695868,161.736777526537,203.291491431279,189.58132278685,209.322556785738,188.164685500696
"Sf3b1",215.491985384184,293.817407979939,246.343607619494,312.672573955956,275.034072519525,316.819768756443,297.539769996001
"Sf3b2",238.711166521705,287.537232700484,243.195446499756,288.852967240999,248.649043059499,250.635210798009,317.135412460072
"Sf3b3",96.9232208479086,119.14558949985,101.921716251516,117.468482777559,112.597841769738,121.140351885704,103.851090328876
"Sf3b4",287.622387645417,345.694025665702,301.436427214908,350.071770647767,328.78135475291,364.225847618391,302.540438399295
"Sf3b5",451.826638207166,377.876961626079,462.386164461511,390.911130133714,353.537678690712,368.211483998053,409.182599464894
"Sf3b6",282.387634498231,249.014874524053,273.496497277234,243.990025539688,219.223763291323,233.351345343895,282.886648628209
"Sfi1",0.289035449844658,0.343632232272069,0,0.32188657722914,0.977223313334277,0.26826398709267,0.872209605225722
"Sfmbt1",5.9733992967896,6.33942221605369,3.54168125970519,6.41761363350598,7.05772392963645,8.00959618605257,6.45435107867034
"Sfmbt2",0.706531099620275,0.699113851863865,0.983800349918108,0.885188087380135,0.760062577037771,1.37964336219087,0.755914991195626
"Sfn",25.049738986537,23.7106240267728,19.8727670683458,22.1095842734266,27.7965742459528,10.0790612293389,9.88504219255818
"Sfpq",191.020317297336,242.284422526448,215.255516562082,247.007712201211,249.626266372834,265.044819247558,282.595912093134
"Sfr1",457.960612753869,495.339938126528,442.119877253198,493.472240803348,451.694331496733,435.354127624676,452.269753963044
"Sfrp1",19.9755610892641,22.2412999991267,7.87040279934487,9.95836598302652,104.345733790471,9.42756297497097,64.078332330583
"Sfrp2",26.3343409858466,25.0614541812216,21.840367768182,16.3357437943789,7.38346503408121,6.13174827640388,50.3555678750317
"Sfrp4",0.289035449844658,0.130343260516992,0.196760069983622,0.16094328861457,0,0,0.116294614030096
"Sfrp5",0.385380599792877,0.296234682993163,0.196760069983622,0.402358221536425,1.08580368148253,0.344910840547718,0.523325763135433
"Sfswap",14.7408079420776,17.2171597755626,12.986164618919,17.4824647257577,15.2012515407554,18.2802745490291,16.4556878852586
"Sft2d1",46.2456719751453,12.7617901433455,47.6159369360364,15.1487870408464,16.287055222238,13.8347570486363,29.6551265776745
"Sft2d2",7.5149216959611,8.47231193360447,7.67364272936125,8.93235251810863,9.98939386963928,4.71378148748548,8.08247567509169
"Sft2d3",7.35434644604741,10.3445151301213,9.64124342919746,11.024615270098,13.2468049140869,12.4167902597179,10.6409571837538
"Sfta2",0.0321150499827398,0,0,0.0201179110768212,0,0,0
"Sftpa1",0,0,0,0,0,0,0
"Sftpb",0.0321150499827398,0,0,0,0,0,0
"Sftpc",0,0,0,0,0,0,0
"Sftpd",0,0,0,0,0,0,0
"Sfxn1",155.276266666547,179.636711767054,164.491418506308,181.785444490157,174.814392718687,237.681892564106,206.422939903421
"Sfxn2",7.22588624611645,10.1312261583662,6.29632223947589,7.20221216550201,6.73198282519169,4.86707519439558,11.8039033240548
"Sfxn3",0.834991299551234,0.85315588702031,0.393520139967243,0.502947776920531,0.325741104444759,0.651498254367913,0.872209605225722
"Sfxn4",2.53708894863644,3.60221374519687,3.34492118972157,3.94311057105696,4.45179509407837,3.33413812529461,4.12845879806842
"Sfxn5",0.931336449499453,0.936101598258396,0.787040279934487,0.945541820610599,1.19438404963078,0.843115388005534,0.639620377165529
"Sgca",0.0321150499827398,0.0118493873197265,0,0.0201179110768212,0.108580368148253,0.0383234267275243,0.0581473070150481
"Sgcb",2.69766419855014,3.72070761839413,2.16436076981984,4.58688372551524,7.81778650667422,10.8072063371618,4.88437378926404
"Sgcd",0.0963451499482193,0,0,0,0,0,0
"Sgce",1.86267289899891,3.92214720282948,5.90280209950865,7.765513675653,6.62340245704343,13.7964336219087,10.5828098767388
"Sgcg",0,0.0355481619591796,0,0,0,0.0383234267275243,0
"Sgcz",0,0,0,0,0,0,0
"Sgf29",38.0884492795294,45.8808277019811,34.0394921071666,40.9801848634849,37.8945484837403,38.7833078482546,41.110146059639
"Sgip1",0.417495649775617,1.1612399573332,0.196760069983622,0.704126887688744,0.651482208889518,0.114970280182573,0.872209605225722
"Sgk1",68.9510123129423,56.1897946701432,133.206567378912,110.688746744671,81.109535006745,102.246902509035,18.0256651746649
"Sgk2",0.642300999654795,0.497674267428514,0,0.301768666152319,0.542901840741265,0.26826398709267,0.116294614030096
"Sgk3",9.37759459496001,9.34916659526423,18.4954465784604,16.7984557491457,24.3220024652087,24.3353759719779,9.01283258733246
"Sgms1",3.98226619785973,4.56201411809471,4.91900174959054,4.42594043690067,4.23463435778187,2.91258043129184,5.81473070150481
"Sgms2",0.0963451499482193,0.106644485877539,0,0.100589555384106,0.217160736296506,0.191617133637621,0.174441921045144
"Sgol1",30.7983329334474,33.320477143071,30.8913309874286,31.4241771019948,33.8770748622549,35.6791102833251,32.8532284635022
"Sgol2a",18.9157644398337,17.3712018107191,17.9051663685096,16.436333349763,18.458662585203,20.0431521784952,20.1189682272066
"Sgol2b",0.0642300999654795,0.0236987746394531,0,0.0201179110768212,0,0,0
"Sgpl1",7.61126684590932,11.8019897704476,8.26392293931211,15.0079616633087,15.5269926452002,20.8096207130457,14.8275632888373
"Sgpp1",1.09191169941315,1.42192647836718,1.96760069983622,2.09226275198941,0.760062577037771,0.996409094915631,2.38403958761697
"Sgpp2",0.160575249913699,0.177740809795898,0,0.16094328861457,0.108580368148253,0.114970280182573,0.814062298210674
"Sgsh",0.192690299896439,0.414728556190429,0.196760069983622,0.382240310459604,0.760062577037771,0.191617133637621,0.465178456120385
"Sgsm1",11.4650728438381,12.868434629223,7.67364272936125,9.21400327318413,6.51482208889518,6.01677799622131,7.50100260494121
"Sgsm2",1.47729229920603,1.52857096424472,0.590280209950865,1.3277821310702,0.760062577037771,0.881438814733058,1.22109344731601
"Sgsm3",3.88592104791151,4.8700981884076,2.16436076981984,4.38570461474703,5.3204380392644,3.90898952620748,4.94252109627909
"Sgta",97.0516810478396,113.718570107416,104.676357231287,123.22220534553,122.695816007526,137.121220831082,106.584013758583
